12/30/2010 	16   42   43   45   48   49          
12/27/2010 	3   7   11   24   30   48          
12/23/2010 	14   24   27   29   40   47          
12/20/2010 	4   22   31   34   36   42          
12/16/2010 	6   8   11   14   35   39          
12/13/2010 	22   29   37   39   42   48          
12/9/2010 	2   6   31   41   42   47          
12/6/2010 	6   11   17   19   36   46          
12/2/2010 	1   6   19   23   26   46          
11/29/2010 	2   20   28   41   44   45          
11/25/2010 	1   8   19   26   39   48          
11/22/2010 	12   27   32   36   42   43          
11/18/2010 	4   8   15   16   17   29          
11/15/2010 	2   7   17   40   43   46          
11/11/2010 	4   6   16   19   21   35          
11/8/2010 	2   8   20   34   40   42          
11/4/2010 	6   13   14   22   28   29          
11/1/2010 	5   8   16   21   24   40          
10/28/2010 	9   10   11   20   21   44          
10/25/2010 	2   6   27   41   44   45          
10/21/2010 	15   30   32   35   40   43          
10/18/2010 	7   17   22   25   28   37          
10/14/2010 	10   13   17   21   26   39          
10/11/2010 	1   5   7   11   25   49          
10/7/2010 	6   14   20   28   39   44          
10/4/2010 	5   8   23   40   42   45          
9/30/2010 	1   12   15   18   31   44          
9/27/2010 	1   25   32   33   39   44          
9/23/2010 	4   16   18   24   43   47          
9/20/2010 	4   13   17   20   40   49          
9/16/2010 	4   9   24   27   33   44          
9/13/2010 	20   21   28   39   40   48          
9/9/2010 	4   10   11   16   28   44          
9/6/2010 	6   17   29   32   35   41          
9/2/2010 	2   6   10   17   33   44          
8/30/2010 	5   13   25   37   41   48          
8/26/2010 	10   17   34   44   46   47          
8/23/2010 	14   16   24   28   29   40          
8/19/2010 	3   14   27   31   47   49          
8/16/2010 	3   4   10   17   21   42          
8/12/2010 	5   14   21   26   39   43          
8/9/2010 	18   23   30   33   40   42          
8/5/2010 	10   18   19   30   32   33          
8/2/2010 	1   7   26   34   42   43          
7/29/2010 	24   32   37   40   41   46          
7/26/2010 	4   10   17   21   24   30          
7/22/2010 	9   25   27   31   35   36          
7/19/2010 	16   22   23   31   35   36          
7/15/2010 	12   20   21   26   40   45          
7/12/2010 	2   15   19   24   34   49          
7/8/2010 	8   22   26   34   40   47          
7/5/2010 	8   10   11   18   32   39          
7/1/2010 	15   31   33   35   37   49          
6/28/2010 	10   19   21   26   30   39          
6/24/2010 	6   18   20   32   35   46          
6/21/2010 	2   7   8   14   20   27          
6/17/2010 	1   5   20   41   48   49          
6/14/2010 	4   16   25   27   29   46          
6/10/2010 	3   8   19   21   25   41          
6/7/2010 	19   24   26   31   35   36          
6/3/2010 	20   22   28   32   39   45      
12/29/2011 	6   10   19   27   44   49          
12/26/2011 	9   11   16   30   41   45          
12/22/2011 	4   15   18   32   38   49          
12/19/2011 	4   5   15   27   32   36          
12/15/2011 	3   10   21   27   37   38          
12/12/2011 	13   17   22   24   28   47          
12/8/2011 	6   9   12   20   26   42          
12/5/2011 	23   25   27   39   42   44          
12/1/2011 	17   21   25   26   36   47          
11/28/2011 	9   21   23   35   44   47          
11/24/2011 	1   4   17   22   33   37          
11/21/2011 	8   9   20   28   33   44          
11/17/2011 	10   15   32   39   43   46          
11/14/2011 	1   10   14   20   40   47          
11/10/2011 	6   18   24   25   35   47          
11/7/2011 	4   22   26   32   35   49          
11/3/2011 	29   36   38   39   42   44          
10/31/2011 	2   11   25   31   40   49          
10/27/2011 	14   17   28   30   32   49          
10/24/2011 	2   5   10   13   28   48          
10/20/2011 	24   29   31   42   43   48          
10/17/2011 	1   19   36   38   39   46          
10/13/2011 	2   23   31   33   40   41          
10/10/2011 	19   21   25   26   29   37          
10/6/2011 	3   9   23   38   39   47          
10/3/2011 	7   14   17   28   39   41          
9/29/2011 	17   20   28   44   46   49          
9/26/2011 	6   12   13   22   44   46          
9/22/2011 	12   13   36   39   41   46          
9/19/2011 	8   9   20   26   35   46          
9/15/2011 	6   14   38   41   48   49          
9/12/2011 	2   15   18   19   27   44          
9/8/2011 	3   5   18   22   33   34          
9/5/2011 	6   9   22   28   40   47          
9/1/2011 	4   5   28   32   37   47          
8/29/2011 	10   12   18   36   44   46          
8/25/2011 	4   7   9   15   24   47          
8/22/2011 	5   13   22   28   35   46          
8/18/2011 	8   20   26   27   29   44          
8/15/2011 	8   14   19   28   37   44          
8/11/2011 	1   9   23   25   37   47          
8/8/2011 	3   4   10   29   33   36          
8/4/2011 	5   15   24   28   48   49          
8/1/2011 	4   18   28   39   41   43          
7/28/2011 	5   9   15   30   31   42          
7/25/2011 	1   10   25   26   41   49          
7/21/2011 	5   15   17   27   32   48          
7/18/2011 	3   5   11   19   36   44          
7/14/2011 	5   10   18   36   42   44          
7/11/2011 	4   7   21   23   33   48          
7/7/2011 	5   15   18   20   23   39          
7/4/2011 	9   16   27   33   40   48          
6/30/2011 	2   3   4   12   15   46          
6/27/2011 	4   14   39   41   42   43          
6/23/2011 	17   22   26   27   33   47          
6/20/2011 	3   7   13   19   20   30          
6/16/2011 	4   5   10   27   32   49          
6/13/2011 	21   25   33   40   42   48          
6/9/2011 	2   3   10   11   35   43          
6/6/2011 	2   21   22   25   28   37          
6/2/2011 	13   15   18   26   35   46          
5/30/2011 	3   9   24   27   33   38          
5/26/2011 	14   16   19   37   38   45          
5/23/2011 	16   17   23   26   36   38          
5/19/2011 	9   17   22   29   38   46          
5/16/2011 	1   6   16   19   21   47          
5/12/2011 	3   7   10   34   35   38          
5/9/2011 	4   7   21   24   31   37          
5/5/2011 	8   9   23   39   47   49          
5/2/2011 	2   3   4   25   46   48          
4/28/2011 	6   21   22   29   34   36          
4/25/2011 	10   12   18   25   44   49          
4/21/2011 	4   11   13   15   17   20          
4/18/2011 	3   4   15   22   24   45          
4/14/2011 	9   18   31   32   36   46          
4/11/2011 	3   35   43   46   47   48          
4/7/2011 	11   21   26   39   42   45          
4/4/2011 	3   13   26   39   42   45          
3/31/2011 	2   13   18   19   24   45          
3/28/2011 	24   29   35   36   40   44          
3/24/2011 	6   14   21   29   41   46          
3/21/2011 	8   13   21   34   42   46          
3/17/2011 	4   8   9   42   45   48          
3/14/2011 	3   16   18   42   43   46          
3/10/2011 	9   27   31   39   42   49          
3/7/2011 	3   6   13   18   37   44          
3/3/2011 	20   21   23   28   41   42          
2/28/2011 	2   7   17   19   27   31          
2/24/2011 	4   24   30   40   42   43          
2/21/2011 	1   13   33   40   47   49          
2/17/2011 	12   18   24   25   29   45          
2/14/2011 	4   7   29   33   36   39          
2/10/2011 	5   26   28   33   39   43          
2/7/2011 	8   35   36   47   48   49          
2/3/2011 	4   18   23   24   36   41          
1/31/2011 	10   14   16   34   36   39          
1/27/2011 	4   12   23   31   32   33          
1/24/2011 	8   15   22   33   36   45          
1/20/2011 	1   6   11   27   31   41          
1/17/2011 	3   5   13   23   27   49          
1/13/2011 	4   19   20   28   31   45          
1/10/2011 	1   6   14   30   35   48          
1/6/2011 	4   12   15   39   40   42          
1/3/2011 	3   7   29   31   38   49           
12/31/2012 	7   9   27   32   41   46          
12/27/2012 	5   28   29   32   41   46          
12/24/2012 	12   19   22   29   30   46          
12/20/2012 	13   24   30   39   42   43          
12/17/2012 	4   9   19   24   32   35          
12/13/2012 	2   15   18   19   27   46          
12/10/2012 	4   13   24   34   36   41          
12/6/2012 	13   17   23   27   30   49          
12/3/2012 	32   39   40   46   47   49          
11/29/2012 	12   14   15   19   38   42          
11/26/2012 	1   5   13   31   33   49          
11/22/2012 	6   13   19   28   36   42          
11/19/2012 	2   9   13   27   39   43          
11/15/2012 	9   10   13   29   40   48          
11/12/2012 	18   20   25   36   39   49          
11/8/2012 	10   12   25   28   31   46          
11/5/2012 	7   23   28   29   41   42          
11/1/2012 	21   28   30   39   40   41          
10/29/2012 	10   18   20   24   35   41          
10/25/2012 	8   15   33   35   46   48          
10/22/2012 	12   15   18   23   37   40          
10/18/2012 	13   19   24   35   39   49          
10/15/2012 	13   20   24   28   41   48          
10/11/2012 	2   20   21   25   27   33          
10/8/2012 	19   20   25   31   36   42          
10/4/2012 	4   11   13   17   18   41          
10/1/2012 	5   10   21   27   30   37          
9/27/2012 	3   15   17   39   42   44          
9/24/2012 	10   14   18   38   39   42          
9/20/2012 	6   9   13   16   23   35          
9/17/2012 	9   17   27   30   38   39          
9/13/2012 	10   14   16   33   34   48          
9/10/2012 	1   8   15   25   27   32          
9/6/2012 	3   4   13   30   35   44          
9/3/2012 	14   23   27   32   39   40          
8/30/2012 	6   17   23   28   31   42          
8/27/2012 	4   6   29   36   40   41          
8/23/2012 	1   10   21   29   31   41          
8/20/2012 	1   3   20   26   27   32          
8/16/2012 	17   30   36   41   47   49          
8/13/2012 	7   22   23   28   34   36          
8/9/2012 	10   24   26   31   39   49          
8/6/2012 	4   18   27   37   43   48          
8/2/2012 	13   22   23   29   33   39          
7/30/2012 	8   13   18   31   36   46          
7/26/2012 	2   4   10   23   30   45          
7/23/2012 	2   9   28   37   43   49          
7/19/2012 	15   17   20   21   33   38          
7/16/2012 	3   7   10   12   20   44          
7/12/2012 	2   17   26   28   32   36          
7/9/2012 	5   10   28   29   30   38          
7/5/2012 	4   19   25   39   46   47          
7/2/2012 	7   22   23   43   44   48          
6/28/2012 	8   9   13   25   27   33          
6/25/2012 	7   8   13   14   23   42          
6/21/2012 	1   5   16   17   46   49          
6/18/2012 	6   14   22   26   31   33          
6/14/2012 	2   9   15   19   25   32          
6/11/2012 	1   11   14   20   21   31          
6/7/2012 	3   7   23   27   28   41          
6/4/2012 	7   21   24   38   46   47          
5/31/2012 	18   27   31   34   40   42          
5/28/2012 	5   25   30   37   48   49          
5/24/2012 	14   17   18   27   31   48          
5/21/2012 	13   16   19   28   45   46          
5/17/2012 	6   29   33   39   41   48          
5/14/2012 	2   5   18   31   37   39          
5/10/2012 	1   8   19   27   33   46          
5/7/2012 	22   26   30   37   39   48          
5/3/2012 	7   9   21   32   38   48          
4/30/2012 	5   9   24   30   40   42          
4/26/2012 	1   8   20   41   43   49          
4/23/2012 	10   12   37   41   43   44          
4/19/2012 	3   11   25   37   46   49          
4/16/2012 	8   9   12   21   24   39          
4/12/2012 	6   10   11   15   24   42          
4/9/2012 	6   15   19   24   39   46          
4/5/2012 	11   25   31   32   44   49          
4/2/2012 	11   14   19   26   37   40          
3/29/2012 	5   17   18   25   44   47          
3/26/2012 	11   12   14   16   18   35          
3/22/2012 	5   10   11   19   35   48          
3/19/2012 	8   13   31   38   41   48          
3/15/2012 	1   5   15   18   20   35          
3/12/2012 	17   18   22   30   34   35          
3/8/2012 	7   29   35   44   46   49          
3/5/2012 	4   27   28   37   42   45          
3/1/2012 	2   15   18   19   31   33          
2/27/2012 	13   14   15   27   33   37          
2/23/2012 	8   10   26   27   41   47          
2/20/2012 	7   17   25   28   38   44          
2/16/2012 	1   5   8   13   30   41          
2/13/2012 	3   10   19   21   38   39          
2/9/2012 	1   3   23   25   35   37          
2/6/2012 	6   7   8   18   27   33          
